"nep","rp","estimate","lower","upper"
0.002,1.00200400801603,2.65177082666196,1.42591436551356,4.28792648523035
0.004,1.00401606425703,2.84173615105689,1.67583123293617,4.38135536204167
0.01,1.01010101010101,3.17446594064284,2.10625812473016,4.56347122795385
0.02,1.02040816326531,3.51972689407093,2.53451859496221,4.79415788917755
0.04,1.04166666666667,3.99524873671201,3.08578876029817,5.17602745682366
0.05,1.05263157894737,4.18888247670952,3.2997431205137,5.35031846219204
0.1,1.11111111111111,4.99034011571718,4.09611068479275,6.16538545241802
0.15,1.17647058823529,5.68045114122534,4.70587236724574,6.96786378269706
0.2,1.25,6.33929337128625,5.24279552255069,7.77641345097405
0.25,1.33333333333333,6.9994239609986,5.75608024087464,8.60843764156647
0.3,1.42857142857143,7.68088518373469,6.2848599075115,9.50514806739091
0.35,1.53846153846154,8.39988902100452,6.83835217911249,10.4426563533614
0.4,1.66666666666667,9.17233623650901,7.43472385130139,11.4528394384331
0.45,1.81818181818182,10.0160084645242,8.06587284321914,12.5513263020668
0.5,2,10.952637454287,8.77513254263682,13.7869853849593
0.55,2.22222222222222,12.0105480039242,9.56926036734076,15.1945231975065
0.6,2.5,13.2286753965642,10.47551199978,16.8384410910576
0.65,2.85714285714286,14.6633539564521,11.5204688296123,18.7955150239381
0.7,3.33333333333333,16.4008173579516,12.763227964269,21.2626962880098
0.75,4,18.582434652899,14.266993539622,24.4176023551884
0.8,5,21.4619087910781,16.1317931646837,28.8330932688198
0.85,6.66666666666667,25.5575843630845,18.6121113537147,35.5397025816895
0.9,10,32.1731982072654,22.1715292335939,47.6799037715753
0.95,20,46.2526907905398,28.6929342429836,78.8849490653722
0.96,25,51.6675112892579,30.8907768201697,92.2504420303095
0.98,50,71.8405373167194,37.9822926876422,150.72084952708
0.99,99.9999999999999,98.2070842571864,45.4543788902748,246.622384029135
0.996,250,145.618462309362,56.0431284985291,465.14137498623
0.998,500,193.953354361982,64.711016894244,749.396556689464
