"Date","max_air_temperature","min_air_temperature","rainfall_amount","snowfall_amount","surface_snow_melt_amount","air_pressure"
1900-12-31,0.600000023841858,-7.5,0,1.29999995231628,0,NA
1901-01-01,-6.90000009536743,-17.2000007629395,0,0,0,NA
1901-01-02,-7.19999980926514,-15.8000001907349,0,7.59999990463257,0,NA
1901-01-03,-9.39999961853027,-27.7000007629395,0,0,0,NA
1901-01-04,-3,-15.1000003814697,0,2.5,0,NA
1901-01-05,-4.69999980926514,-24.7999992370605,0,0,0,NA
1901-01-06,-3,-11.1000003814697,0,0,0,NA
1901-01-07,0,-6.80000019073486,0,10.1999998092651,0,NA
1901-01-08,1.5,-7.40000009536743,3.45683171179,0,0,NA
1901-01-09,1.20000004768372,-6.5,0,0,0,NA
1901-01-10,-5.69999980926514,-9.80000019073486,0,7.59999990463257,0,NA
1901-01-11,-5.59999990463257,-9.39999961853027,0,0,0,NA
1901-01-12,-4.19999980926514,-11.3000001907349,0,20.2999992370605,0,NA
1901-01-13,-2.70000004768372,-17.6000003814697,0,0,0,NA
1901-01-14,1,-8.60000038146973,0,0,0,NA
1901-01-15,1.70000004768372,-1.70000004768372,0,0.800000011920929,0,NA
1901-01-16,3.59999990463257,-2.40000009536743,2.37443654406871,0.800000011920929,0,NA
1901-01-17,-1.70000004768372,-10.6000003814697,0,6.40000009536743,0,NA
1901-01-18,-13.6999998092651,-23.6000003814697,0,0,0,NA
1901-01-19,-18.5,-28,0,0,0,NA
1901-01-20,-0.100000001490116,-24.7000007629395,0,0,0,NA
1901-01-21,4.90000009536743,-7.59999990463257,0,0,0,NA
1901-01-22,-5.69999980926514,-18.2999992370605,0,0,0,NA
1901-01-23,-2.40000009536743,-14,0,0,0,NA
1901-01-24,1.20000004768372,-5.90000009536743,0,2,0,NA
1901-01-25,-1.10000002384186,-9.60000038146973,0,5.09999990463257,0,NA
1901-01-26,-6.69999980926514,-20.6000003814697,0,0,0,NA
1901-01-27,-2.70000004768372,-13.5,0,0,0,NA
1901-01-28,-5.09999990463257,-11.8999996185303,0,0.800000011920929,0,NA
1901-01-29,-8.89999961853027,-18.2999992370605,0,0,0,NA
1901-01-30,-5.69999980926514,-13.5,0,0,0,NA
1901-01-31,-6.59999990463257,-13.3000001907349,0,1.29999995231628,0,NA
1901-02-01,-6.30000019073486,-16.7999992370605,0,0.800000011920929,0,NA
1901-02-02,-5,-21.6000003814697,0,0,0,NA
1901-02-03,-3.79999995231628,-19.8999996185303,0,0,0,NA
1901-02-04,-5.09999990463257,-11.6999998092651,0,10.1999998092651,0,NA
1901-02-05,-8.5,-16.7000007629395,0,0,0,NA
1901-02-06,-11.6000003814697,-22.7999992370605,0,0,0,NA
1901-02-07,-8.80000019073486,-25.5,0,0,0,NA
1901-02-08,-7,-24.8999996185303,0,0,0,NA
1901-02-09,-11.3000001907349,-20.7000007629395,0,6.40000009536743,0,NA
1901-02-10,-7.69999980926514,-25.5,0,0,0,NA
1901-02-11,-3.59999990463257,-14.8999996185303,0,0.800000011920929,0,NA
1901-02-12,-5.80000019073486,-14.3000001907349,0,0,0,NA
1901-02-13,-11.8999996185303,-21.2999992370605,0,0,0,NA
1901-02-14,-8.30000019073486,-19.7999992370605,0,0,0,NA
1901-02-15,-4.09999990463257,-13.3999996185303,0,0,0,NA
1901-02-16,-0.200000002980232,-14.8999996185303,0,0,0,NA
1901-02-17,-0.600000023841858,-11,0,0.800000011920929,0,NA
1901-02-18,0.200000002980232,-13,0,0.800000011920929,0,NA
1901-02-19,-1.5,-7,0,3.29999995231628,0,NA
1901-02-20,-6.5,-13.6999998092651,0,0.800000011920929,0,NA
1901-02-21,-8,-22.6000003814697,0,0,0,NA
1901-02-22,-6.59999990463257,-17.1000003814697,0,0.800000011920929,0,NA
1901-02-23,-8,-19.6000003814697,0,0,0,NA
1901-02-24,-7.40000009536743,-23.2999992370605,0,0,0,NA
1901-02-25,-3.20000004768372,-12.3000001907349,0,1.29999995231628,0,NA
1901-02-26,-4.30000019073486,-14.1000003814697,0,1.29999995231628,0,NA
1901-02-27,-7.69999980926514,-22.3999996185303,0,0,0,NA
1901-02-28,-4.80000019073486,-24.7000007629395,0,0,0,NA
1901-03-01,-0.200000002980232,-16.5,0,5.09999990463257,0,NA
1901-03-02,-2.20000004768372,-14.5,0,2.5,0,NA
1901-03-03,0.100000001490116,-21.1000003814697,0,1.29999995231628,0,NA
1901-03-04,3.5,-6.5,0,0,0,NA
1901-03-05,-5.19999980926514,-17.7000007629395,0,0.800000011920929,0,NA
1901-03-06,-10.6000003814697,-21.2000007629395,0,0,0,NA
1901-03-07,-3.59999990463257,-16.8999996185303,0,1.29999995231628,0,NA
1901-03-08,0.600000023841858,-6.69999980926514,0,1.29999995231628,0,NA
1901-03-09,1.60000002384186,-4.09999990463257,0,5.09999990463257,0,NA
1901-03-10,-0.100000001490116,-10.5,0,0.800000011920929,0,NA
1901-03-11,2.40000009536743,-3.79999995231628,7.54649072975653,1.29999995231628,0,NA
1901-03-12,-0.800000011920929,-5.90000009536743,0,0.800000011920929,0.172512590441065,NA
1901-03-13,-1.70000004768372,-11.6000003814697,0,0,0,NA
1901-03-14,0,-4.40000009536743,0,10.1999998092651,0,NA
1901-03-15,0.5,-6.80000019073486,0,1.29999995231628,0,NA
1901-03-16,-1,-15.8999996185303,0,0,0,NA
1901-03-17,2.29999995231628,-12.3999996185303,0,1.29999995231628,0,NA
1901-03-18,6.09999990463257,-9.19999980926514,0,0,0,NA
1901-03-19,-2.20000004768372,-11.1000003814697,0,0.800000011920929,0,NA
1901-03-20,1.70000004768372,-9.19999980926514,9.39312076716799,0,0,NA
1901-03-21,1.29999995231628,-3.79999995231628,3,0,0.145016598350997,NA
1901-03-22,-0.600000023841858,-7,0,0.800000011920929,0.124331504661468,NA
1901-03-23,5.19999980926514,-9.5,0,0.800000011920929,0,NA
1901-03-24,5.19999980926514,-0.600000023841858,3,0,7.82332866090109,NA
1901-03-25,5.69999980926514,1.39999997615814,1.5,0,18.2325896404824,NA
1901-03-26,6,2,14,0,21.5607061162272,NA
1901-03-27,1.79999995231628,-4.5,0,0,1.31573485102553,NA
1901-03-28,-1.20000004768372,-9.5,0,0,0.045346086692486,NA
1901-03-29,-0.200000002980232,-9.80000019073486,0,0,0,NA
1901-03-30,2.5,-11.1000003814697,0,0,0,NA
1901-03-31,3.40000009536743,-6.19999980926514,0,0,0,NA
1901-04-01,6.80000019073486,-2.40000009536743,0,0,6.53345286665477,NA
1901-04-02,7.40000009536743,-5.69999980926514,0,0,0.276095935382593,NA
1901-04-03,4.40000009536743,0.800000011920929,1,1.29999995231628,10.0487049966243,NA
1901-04-04,6,1.39999997615814,3.79999995231628,0,19.0495220242025,NA
1901-04-05,6.90000009536743,0.899999976158142,0.300000011920929,0,21.2008704426986,NA
1901-04-06,7,1,0.5,0,21.8596137267881,NA
1901-04-07,8.39999961853027,0.600000023841858,0.300000011920929,0,20.5412913331397,NA
1901-04-08,5,-0.200000002980232,0.5,0,0,NA
1901-04-09,9.19999980926514,-0.200000002980232,0,0,0,NA
1901-04-10,10.1999998092651,-0.200000002980232,0,0,0,NA
1901-04-11,12.6999998092651,-2.20000004768372,0,0,0,NA
1901-04-12,14.8999996185303,-3.70000004768372,0,0,0,NA
1901-04-13,15.5,-0.400000005960464,0,0,0,NA
1901-04-14,14.8999996185303,2.29999995231628,0,0,0,NA
1901-04-15,15.8000001907349,3.29999995231628,0,0,0,NA
1901-04-16,18.2999992370605,0.5,0,0,0,NA
1901-04-17,16.6000003814697,1.29999995231628,0,0,0,NA
1901-04-18,11.3999996185303,3.29999995231628,15.5,0,0,NA
1901-04-19,7.19999980926514,-0.400000005960464,0,0,0,NA
1901-04-20,3.29999995231628,-0.899999976158142,0,2.5,0,NA
1901-04-21,7.90000009536743,0.100000001490116,1.79999995231628,0,2.5,NA
1901-04-22,15.8999996185303,6.40000009536743,0.5,0,0,NA
1901-04-23,14.8000001907349,8.10000038146973,2.29999995231628,0,0,NA
1901-04-24,14.8000001907349,7.19999980926514,0.300000011920929,0,0,NA
1901-04-25,19.8999996185303,5.69999980926514,0,0,0,NA
1901-04-26,20.7999992370605,1.79999995231628,0,0,0,NA
1901-04-27,21.7000007629395,0.600000023841858,0,0,0,NA
1901-04-28,23.6000003814697,2.09999990463257,0,0,0,NA
1901-04-29,25.5,4.80000019073486,0,0,0,NA
1901-04-30,18.3999996185303,9,1.79999995231628,0,0,NA
1901-05-01,18.7999992370605,6.90000009536743,0,0,0,NA
1901-05-02,19.2000007629395,7.30000019073486,14.1999998092651,0,0,NA
1901-05-03,15,1.79999995231628,0,0,0,NA
1901-05-04,18.1000003814697,2.5,0,0,0,NA
1901-05-05,24.6000003814697,3,0,0,0,NA
1901-05-06,23.5,6,0,0,0,NA
1901-05-07,25,5,0,0,0,NA
1901-05-08,25.1000003814697,7.5,0,0,0,NA
1901-05-09,22.3999996185303,11.1999998092651,0,0,0,NA
1901-05-10,19.2000007629395,12.1999998092651,0.5,0,0,NA
1901-05-11,19.7999992370605,10.3000001907349,3.59999990463257,0,0,NA
1901-05-12,16.2999992370605,3,1,0,0,NA
1901-05-13,11.8999996185303,2.5,14,0,0,NA
1901-05-14,13.6000003814697,2.59999990463257,0.300000011920929,0,0,NA
