:HRUs
 :Attributes      AREA ELEVATION  LATITUDE LONGITUDE  BASIN_ID      LAND_USE_CLASS           VEG_CLASS        SOIL_PROFILE AQUIFER_PROFILE  TERRAIN_CLASS     SLOPE    ASPECT
 :Units            km2         m       deg       deg      none                none                none                none            none           none       deg      degN
  1             2.2212     298.3   43.4603  -80.0442        64                LAKE                LAKE                LAKE          [NONE]         [NONE]     0.000     0.000
  2             0.1944     281.0   43.5105  -79.9661        67                LAKE                LAKE                LAKE          [NONE]         [NONE]     0.000     0.000
  3             0.3816     230.2   43.5100  -79.9467        65                LAKE                LAKE                LAKE          [NONE]         [NONE]     0.000     0.000
  4             0.4212     252.3   43.5727  -79.9480        69                LAKE                LAKE                LAKE          [NONE]         [NONE]     0.000     0.000
  5             7.3152     178.8   43.5106  -79.7255         1         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.065   264.209
  6             2.3940     173.1   43.5124  -79.7104         1     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.630   223.678
  7             6.9480     129.2   43.4948  -79.6752         1     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.715   245.259
  8             2.4228     167.7   43.5034  -79.7042         1               Urban                Bare                 Low          [NONE]         [NONE]     1.751   258.094
  9             1.1844     165.7   43.5043  -79.7091         1              Forest           Deciduous                 Low          [NONE]         [NONE]     2.030   273.199
  10            1.5480     119.5   43.4900  -79.6664         1               Urban                Bare             Unknown          [NONE]         [NONE]     1.602   236.686
  11            2.8116      90.4   43.4732  -79.6476         2               Urban                Bare                High          [NONE]         [NONE]     1.328   239.547
  12            0.8820     105.6   43.4753  -79.6673         2     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.679   246.790
  13            0.3132     127.3   43.4814  -79.6754         2              Forest           Deciduous             Unknown          [NONE]         [NONE]     3.692   260.096
  14            0.9108     108.4   43.4759  -79.6708         2               Urban                Bare             Unknown          [NONE]         [NONE]     1.363   241.501
  15            0.3996     104.8   43.4736  -79.6701         2              Barren                Bare             Unknown          [NONE]         [NONE]     1.456   246.127
  16            0.4104      89.8   43.4725  -79.6500         2              Forest           Deciduous                High          [NONE]         [NONE]     1.635   239.079
  17            0.3816      91.8   43.4723  -79.6511         2              Barren                Bare                High          [NONE]         [NONE]     1.279   238.089
  18            3.6972     173.2   43.4687  -79.7721         3         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.428   237.143
  19            5.7204     119.9   43.4568  -79.7224         3     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     4.084   231.487
  20            6.0984     150.0   43.4651  -79.7315         3               Urban                Bare                 Low          [NONE]         [NONE]     1.694   219.332
  21            1.4472     155.6   43.4666  -79.7388         3              Barren                Bare                 Low          [NONE]         [NONE]     1.714   220.684
  22            2.3040     163.3   43.4673  -79.7538         3     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     2.421   218.093
  23            2.6568     161.2   43.4655  -79.7601         3              Forest           Deciduous                 Low          [NONE]         [NONE]     4.638   247.651
  24            1.8648     127.3   43.4584  -79.7390         3              Forest           Deciduous             Unknown          [NONE]         [NONE]     9.390   246.662
  25            1.2420     247.2   43.4183  -79.8801         4     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     6.163    26.581
  26            2.7936     249.6   43.4203  -79.8836         4              Forest           Deciduous                 Low          [NONE]         [NONE]     4.210    25.494
  27            3.8376     215.2   43.4271  -79.8878         4         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     2.553   350.167
  28            0.9000     265.1   43.4124  -79.8814         4               Urban                Bare                 Low          [NONE]         [NONE]     2.736     9.357
  29            0.8748     210.0   43.4254  -79.8832         4     ShortVegetation     MixedVegetation                 Low          [NONE]         [NONE]     3.820   352.738
  30            0.7992     267.1   43.4143  -79.8865         4     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     4.065    76.392
  31            2.2176     114.3   43.4407  -79.7080         5     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.588   240.099
  32            1.0368     162.6   43.4521  -79.7709         5         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.049   251.481
  33            0.9036     129.6   43.4443  -79.7243         5     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.013   238.150
  34            5.0976     118.8   43.4410  -79.7135         5               Urban                Bare                 Low          [NONE]         [NONE]     1.008   239.209
  35            0.8676     122.2   43.4420  -79.7165         5              Barren                Bare                 Low          [NONE]         [NONE]     0.906   238.356
  36            1.2600     107.9   43.4379  -79.7037         5               Urban                Bare             Unknown          [NONE]         [NONE]     1.484   220.967
  37            1.0080      86.4   43.4320  -79.6815         5               Urban                Bare                High          [NONE]         [NONE]     1.614   255.950
  38            5.5692     273.6   43.3925  -80.0611         6     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.523   186.130
  39            0.7164     282.2   43.4012  -80.0677         6     ShortVegetation     ShortVegetation           LowMedium          [NONE]         [NONE]     2.782   193.045
  40            0.7308     281.4   43.3961  -80.0562         6               Urban                Bare           LowMedium          [NONE]         [NONE]     2.506    47.245
  41            2.3292     280.1   43.3888  -80.0641         6         Agriculture     ShortVegetation           LowMedium          [NONE]         [NONE]     3.048     6.105
  42            1.7676     271.4   43.3948  -80.0724         6               Swamp     MixedVegetation    WetlandSediments          [NONE]         [NONE]     0.248   203.714
  43            1.1556     271.7   43.3952  -80.0663         6               Swamp     MixedVegetation             Unknown          [NONE]         [NONE]     0.751   163.793
  44            1.0908     273.5   43.3915  -80.0644         6         Agriculture     ShortVegetation             Unknown          [NONE]         [NONE]     1.534   167.054
  45            0.9576     271.0   43.3859  -80.0448         6         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.363   190.251
  46            1.5444     160.7   43.4081  -79.8122         7         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.262   239.712
  47            4.9032     138.5   43.4000  -79.7881         7               Urban                Bare                 Low          [NONE]         [NONE]     1.074   233.659
  48            1.3140     151.5   43.4039  -79.8028         7              Forest           Deciduous                 Low          [NONE]         [NONE]     2.414   253.454
  49            2.3904     143.0   43.4023  -79.7943         7     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.571   238.946
  50            3.6540     107.5   43.3905  -79.7500         7     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.321   243.857
  51            0.9936     143.6   43.4019  -79.7953         7              Barren                Bare                 Low          [NONE]         [NONE]     1.320   241.390
  52            2.8944     104.2   43.3880  -79.7475         7               Urban                Bare             Unknown          [NONE]         [NONE]     1.204   232.772
  53            1.1592     119.2   43.3372  -79.8305         8     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.604   231.285
  54            1.2744     148.9   43.3431  -79.8401         8               Urban                Bare                 Low          [NONE]         [NONE]     3.625   248.293
  55            0.2664     150.1   43.3415  -79.8422         8              Forest           Deciduous             Unknown          [NONE]         [NONE]     3.718   247.246
  56            0.5112     187.7   43.3435  -79.8518         8              Forest           Deciduous                 Low          [NONE]         [NONE]     5.517   257.644
  57            0.4500     127.6   43.3394  -79.8336         8               Urban                Bare             Unknown          [NONE]         [NONE]     3.665   223.751
  58            0.2592     107.5   43.3383  -79.8277         8              Barren                Bare             Unknown          [NONE]         [NONE]     2.719   230.453
  59            0.4896      96.3   43.3304  -79.8210         8               Urban                Bare                High          [NONE]         [NONE]     1.086   223.096
  60            0.3852      96.6   43.3284  -79.8230         8     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.652   231.749
  61            1.4868     116.4   43.3521  -79.7993         9     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.731   227.923
  62            3.3840     139.1   43.3658  -79.8145         9               Urban                Bare                 Low          [NONE]         [NONE]     1.317   238.511
  63            0.8352     135.8   43.3649  -79.8132         9     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.515   230.513
  64            0.6516     139.2   43.3651  -79.8150         9              Barren                Bare                 Low          [NONE]         [NONE]     1.328   240.822
  65            0.7272      98.3   43.3491  -79.7858         9               Urban                Bare             Unknown          [NONE]         [NONE]     1.183   219.841
  66            2.4660      91.3   43.3448  -79.7844         9               Urban                Bare                High          [NONE]         [NONE]     0.751   229.320
  67            0.3168      83.9   43.3315  -79.7891        10     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.797   202.618
  68            2.5560      88.8   43.3346  -79.7940        10               Urban                Bare                High          [NONE]         [NONE]     0.695   217.710
  69            0.4680      89.2   43.3348  -79.7943        10              Barren                Bare                High          [NONE]         [NONE]     0.770   214.343
  70            0.2844      89.5   43.3353  -79.7939        10     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     0.753   233.042
